Qty	Value	Device	Parts	Library	Description	DIGIKEY	Parts on hand	Ordered										
1	TEENSY_3.1+4	TEENSY_3.1+4	U$1	mcu-accessories	"Footprint for Teensy 3.1 board using all through-holes, i.e. the entire perimeter plus the 4 through-holes inboard (A10,A11,AREF, VUSB)"													
27	TESTPT	TESTPT	"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27"	Lin-Temp-Controller		A106143CT-ND	18	330										
1		TS6001	IC6	Lin-Temp-Controller	2.5V Reference IC	TS6001BIG325TCT-ND	1	12										
																		
			Power Supply			CDPM1000-ND		10										
	376		Knobs for encoders			450-1693-ND		25										
			teensy headers															
						avoid Murata!												
			other circuit															
			switching PS															
			fans															
																		
																		
Qty	Value	Device	Parts	needed	Description	DIGIKEY												
1		INA159	IC2	44	"INA159 Difference Amplifier, Texas Instruments"	296-18688-1-ND	1?	50										
1		OP727	IC1	44	OP727 Dual Op Amp	OP727ARUZ-ND		50										
1		PINHD-2X6	JP3	44	PIN HEADER	S7109-ND		50										
1		SCRWTRM-1X2/90_ED550	JP2	44	Screw Terminal	ED1501-ND		50										
1		SCRWTRM-1X4/90_ED550	JP1	44	Screw Terminal	ED1503-ND		50										
1		WTC3243	U1	44	WTC3243 linear temp controller chip from Team Wavelength													
2	0	RES0603	"R1, R2"	88	SMT Resistor	541-0.0GCT-ND		100										
1	0.1uF	CAP0603	C8	44	SMT Capacitor	399-5089-1-ND		included above										
2	100k 1%	RES0603	"R4, R5"	88	SMT Resistor	MCT0603-100K-CFCT-ND		100										
3	10nF	CAP0603	"C2, C4, C6"	132	SMT Capacitor	399-1091-1-ND		included above										
1	10uF 50V	C-USC1206	CP2	44	"CAPACITOR, American symbol"	1276-2876-1-ND		50										
3	10uF	CAP0805	"C3, C5, C7"	132	SMT Capacitor	1276-2891-1-ND		included above										
1	20k 0.1%	R_SMDR0805	R6	44		A119984CT-ND		50										
1	220uF	CPOL-USF	CP1	44	"POLARIZED CAPACITOR, American symbol"	PCE3955CT-ND		included above										
1	22uF	CAP0805	C1	44	SMT Capacitor	311-1900-1-ND		50										
1	3.3k	RES0603	R3	44	SMT Resistor	MCT0603-3.30K-CFCT-ND		50										
1	47uF	CPOL-USCT7343	CP3	44	"POLARIZED CAPACITOR, American symbol"	495-1571-1-ND		included above										
1	587-1757-1-ND	L_FERRITE_SMD	LP2	44		587-1757-1-ND		50										
3	DNP	RES0603	"RI, RP, RSG"	0	SMT Resistor													
1	Ferrite 1k	INDUCTOR-0805	L1	44	SMT Inductor.			included above										
																		
					Header for WTC chip	A208-ND		40										
																		
	Screaming Circuits quote details																	
	Unique Parts	18	not including WTC3243															
	SMT Placements	21																
	Thru Hole Placements	3		shopping cart:														
				web id	148701440													
		"40 boards, 10 days: $950.40"		access id	38776													
																		
	silver circuits: 	44 boards																
	production	1 week:	$195 															
	production	2 weeks:	151.32															
	proto		125															
